placekey,location_name,brand_id,latitude,longitude,tract,county,city
223-222@5qc-w94-3bk,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.696965,-112.024207,49035113412,49035,West Valley City
223-222@5qd-2dm-sdv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.985775,-111.906149,49011126202,49011,Farmington
223-222@5qg-52z-j9z,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,38.563303,-109.549835,49019000300,49019,Moab
223-222@5qh-fbf-kzz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,42.828051,-106.355303,56025000901,56025,Casper
223-222@5sy-bxw-54v,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,44.517313,-109.054517,56029965500,56029,Cody
223-222@5w9-jbw-p5f,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.620832,-116.204335,16001000100,16001,Boise
223-222@5wg-42d-t35,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,43.482167,-112.020563,16019970900,16019,Idaho Falls
223-223@5q9-8qk-qpv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.743609,-104.435554,08001008401,08001,Bennett
223-223@5qc-wcs-hh5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.651599,-112.290895,49045130702,49045,Stansbury Park
223-223@5qd-sxg-m6k,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,37.298277,-107.847646,08067970800,08067,Durango
223-224@5q6-m2c-8y9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.364352,-107.033423,08097000100,08097,Basalt
223-224@5q9-9z2-gzf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.708239,-104.876576,08031007089,08031,Denver
223-225@5q9-b7v-rzf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.655124,-105.081819,08059011729,08059,Lakewood
224-222@5q6-3xs-hqz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.666869,-105.150806,08059011726,08059,Lakewood
224-222@5q7-zct-pd9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.308551,-104.62156,08101002903,08101,Pueblo
224-222@5q9-7b5-7dv,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.851854,-104.869634,08041001301,08041,Colorado Springs
224-222@5q9-7f4-fvf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,38.796852,-104.756931,08041006400,08041,Colorado Springs
224-222@5q9-b3f-j7q,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.534183,-104.794361,08035014005,08035,Parker
